CUST_ID,SITE_ID
628983999,MLM
75300134,MLM
77533178,MLB
239658097,MLM
173731009,MLM
170184266,MLM
723872121,MLB
153862001,MLM
150867761,MLM
398763247,MLB
576070864,MLB
1155168553,MLC
706961484,MLB
115969653,MLB
113543789,MLB
171025661,MLB
172753273,MLA
259617459,MLB
183134623,MLM
2413462,MLM
7384017,MLC
261226656,MLB
786422584,MLB
190609473,MLB
806010236,MLB
542346516,MLC
687479112,MLM
685051111,MLB
816151463,MLB
245537363,MLC
528248598,MLB
526963745,MCO
763252077,MLM
329363714,MLM
325642951,MLB
1146190734,MLM
422510332,MLB
422927430,MLB
50622268,MLB
50493253,MLA
16882111,MLB
39630714,MLB
316317109,MLC
313252849,MLC
496516594,MLM
501917569,MLM
508159250,MLB
1004108272,MLB
449185735,MLM
9649614,MLA
19876329,MLA
697251991,MLM
699085837,MLM
1168014543,MLM
705745096,MLB
1082087952,MLB
751075761,MLM
755166353,MLM
93698462,MLM
248312785,MLB
248092851,MLB
581483876,MLB
589051952,MCO
661659377,MLM
662610708,MLC
206239193,MLM
204856787,MLC
427348751,MLC
427564709,MLB
829385413,MLB
544162159,MLB
710385905,MLC
1043311033,MLM
57126640,MLM
44873610,MLM
45497959,MLM
253622272,MLB
251185355,MLB
302003097,MLB
815471638,MLM
398932473,MLM
650084609,MLB
70596384,MCO
659737804,MLM
651360800,MLM
691265432,MLB
568174533,MLM
1107294844,MLB
735914859,MLB
436235134,MLB
377506887,MLB
374838147,MLB
612620981,MCO
182800027,MLB
456961844,MLB
176184192,MLB
174218926,MLB
227414072,MLB
226819710,MLB
156879344,MLB
154067008,MLB
206714221,MLB
485276592,MLM
82105256,MLM
85495454,MLM
80746914,MLM
80165632,MLM
1096011627,MLC
1092209308,MLB
128626110,MLM
210339491,MLB
210062700,MLB
118252844,MLM
112917452,MLM
21245295,MLB
73641594,MLB
71988515,MLB
273379859,MLB
233632476,MLB
53668864,MLB
53337776,MLB
50748926,MLB
519762546,MLB
191871336,MLM
192778859,MLM
536988457,MLB
446199496,MLM
449639021,MLB
627826958,MLM
621252566,MLB
620751891,MLB
687787554,MLA
141015194,MLB
76539280,MLM
70126354,MLM
232417493,MLM
177693943,MLM
177289042,MLM
40399245,MLB
639883920,MLC
635339199,MLB
726520923,MLB
394882023,MLB
407290091,MLB
404666610,MLB
400078081,MLB
571223827,MLA
284743291,MLM
113179591,MLB
110380415,MLB
63290341,MLM
62910821,MLM
65302829,MLB
96915429,MLB
170567544,MLB
252063578,MLC
257268611,MLB
2774013,MLM
8313436,MLB
195521402,MLB
193830399,MLB
194003559,MLB
52392766,MCO
214304196,MLB
809723682,MLB
120203390,MLB
200263240,MLB
544047105,MLM
684925214,MLM
522906850,MLM
526682470,MLB
181062123,MLB
180815385,MLB
181972219,MLA
760919716,MLM
328215943,MLB
1142587102,MLB
11156248,MLM
17075664,MLB
17538312,MLB
15127427,MLB
753580992,MLB
36888589,MLB
312429962,MLB
310524059,MLB
494392014,MLC
506656886,MLB
1111541511,MLM
1110134259,MLB
1179762184,MLB
463444164,MLB
130346,MLB
10003525,MLB
10107255,MLB
19009036,MLA
18019973,MLA
304120465,MLM
1019616894,MLB
1019669474,MLC
144388863,MLM
705677429,MLB
205036001,MLA
204410442,MLA
373870899,MCO
1082414035,MLM
1087397052,MLB
643527775,MLB
643930897,MLB
538702206,MLC
